"Age"	"Height"	"Weight"
"child"	59.4487	104.5
"adult"	62.44082	163.02
"child"	52.28336	63.36
"child"	43.7007	45.32
"adult"	64.88176	188.1
"child"	52.87391	73.04
"adult"	64.72428	111.54
"adult"	66.81089	142.12
"adult"	59.40933	134.2
"adult"	61.8109	125.62
"adult"	64.88176	190.74
"child"	62.75578	109.56
"child"	57.04713	67.32
"child"	64.29121	165.66
"child"	59.52744	74.36
"child"	59.36996	120.78
"child"	41.18102	44.22
"adult"	66.5353	148.94
"child"	51.33848	52.8
"child"	64.13373	136.84
"adult"	63.30696	179.52
"adult"	63.18885	139.48
"adult"	62.51956	165.44
"adult"	63.50381	196.68
"adult"	64.13373	146.52
"child"	55.78729	73.26
"adult"	61.69279	199.76
"child"	52.51958	66.66
"child"	65.98412	119.46
"adult"	64.99987	232.54
"adult"	63.07074	138.16
"adult"	59.21248	95.92
"adult"	68.77939	113.74
"child"	65.47231	123.64
"child"	36.33851	29.26
"child"	58.07075	110.88
"adult"	68.07073	166.32
"child"	52.32273	86.9
"child"	66.02349	186.12
"child"	43.58259	42.68
"adult"	66.45656	132.44
"adult"	61.37783	192.5
"adult"	62.83452	167.86
"adult"	62.55893	129.58
"adult"	61.88964	161.26
"adult"	64.92113	199.76
"adult"	62.00775	134.86
"child"	60.98413	162.8
"child"	40.90543	39.16
"adult"	62.51956	140.8
"adult"	65.23609	102.3
"adult"	65.03924	232.76
"child"	53.89753	67.54
"adult"	58.74004	135.08
"child"	61.22035	124.74
"adult"	66.33845	142.78
"child"	40.19677	34.32
"adult"	60.94476	159.28
"child"	52.7558	90.64
"child"	42.99204	41.8
"adult"	62.32271	115.72
"child"	59.4487	108.46
"child"	44.72432	44.88
"child"	61.4172	142.56
"adult"	62.2046	111.1
"child"	63.85814	220.88
"child"	48.58258	93.5
"child"	57.67705	111.1
"adult"	61.33846	126.06
"child"	65.47231	108.9
"adult"	66.45656	231
"adult"	63.85814	243.54
"child"	59.13374	90.64
"child"	40.47236	36.74
"adult"	60.35421	185.02
"adult"	60.66917	123.42
"child"	41.45661	54.34
"adult"	61.73216	105.82
"child"	61.22035	99.88
"child"	46.14164	46.64
"child"	34.13379	27.28
"adult"	67.75577	157.74
"child"	44.64558	44.88
"child"	52.55895	61.82
"child"	44.01566	41.36
"adult"	62.04712	159.06
"adult"	67.51955	160.38
"child"	62.95263	123.42
"adult"	63.11011	126.28
"child"	58.85815	100.76
"adult"	66.06286	229.9
"adult"	59.76366	110.66
"adult"	63.81877	137.72
"adult"	62.48019	137.94
"adult"	63.22822	115.06
"adult"	63.14948	123.2
"adult"	62.08649	129.14
"adult"	63.70066	108.24
"child"	52.3621	68.64
"adult"	62.91326	181.5
"child"	60.35421	96.58
"child"	62.5983	110.88
"adult"	64.5668	124.74
"child"	61.96838	130.9
"adult"	63.42507	130.46
"child"	44.25188	42.24
"child"	45.47235	49.94
"child"	60.51169	100.98
"child"	59.99988	96.8
"child"	58.70067	76.12
"adult"	64.48806	199.76
"child"	57.79516	104.28
"adult"	63.81877	139.7
"child"	63.34633	192.06
"adult"	63.85814	216.92
"child"	64.48806	212.08
"child"	54.96052	97.68
"adult"	64.33058	158.4
"child"	42.83456	41.14
"adult"	63.54318	102.08
"adult"	63.42507	128.04
"child"	44.0944	45.76
"adult"	67.75577	163.02
"adult"	67.75577	155.32
"child"	58.38571	115.94
"child"	55.19674	75.02
"adult"	62.00775	201.08
"adult"	63.70066	172.48
"child"	63.26759	145.2
"adult"	62.04712	152.9
"child"	61.0235	128.48
"adult"	60.15736	211.86
"adult"	64.44869	203.5
"adult"	65.66916	171.16
"adult"	63.3857	139.04
"adult"	61.96838	128.7
"adult"	59.60618	178.2
"child"	62.91326	119.24
"adult"	64.92113	155.98
"adult"	60.66917	151.36
"adult"	62.2046	128.92
"child"	61.37783	116.6
"adult"	59.76366	145.2
"adult"	64.33058	141.68
"adult"	66.45656	141.9
"child"	36.18103	36.52
"adult"	62.00775	120.12
"adult"	62.63767	156.64
"adult"	61.10224	116.6
"child"	43.85818	40.48
"child"	66.65341	171.16
"child"	47.6377	65.34
"adult"	59.60618	186.56
"adult"	59.8424	133.54
"adult"	58.97626	142.34
"adult"	58.81878	120.78
"adult"	61.96838	135.52
"adult"	66.10223	139.48
"child"	42.36212	34.76
"child"	55.74792	118.58
"adult"	65.98412	277.64
"adult"	64.99987	144.1
"child"	63.46444	148.06
"adult"	63.34633	98.56
"adult"	60.2361	102.08
"child"	47.40148	58.08
"child"	62.08649	156.2
"adult"	59.25185	159.06
"child"	43.97629	38.94
"adult"	65.70853	155.54
"adult"	65.39357	201.74
"child"	68.46443	192.06
"adult"	62.83452	162.58
"adult"	62.71641	170.5
"adult"	63.03137	133.76
"adult"	64.33058	157.52
"adult"	60.51169	127.6
"child"	58.42508	93.5
"adult"	62.2046	143.88
"child"	37.7952	36.96
"adult"	63.30696	204.38
"adult"	61.65342	239.14
